POSSESSIO — full-suite re-certification capture
Date: 2026-08-24  ·  Command: forge test  ·  Solc 0.8.35  ·  Code seat (session u2gvnq)
Environment: sandbox container, no BASE_RPC_URL (live-fork suites self-skip in setUp)
This is the operator-retained terminal record for Part 6. If it is not here, it is not proven.
----------------------------------------------------------------------

test/LSTExchangeRateFork.t.sol:LSTExchangeRateForkTest  => ok. 0 passed; 0 failed; 5 skipped; finished in 2.72ms (435.42µs CPU time)
test/PossessioRailV2.t.sol:PossessioRailV2Test  => ok. 0 passed; 0 failed; 1 skipped; finished in 3.98ms (0.00ns CPU time)
test/PossessioFundingVault.t.sol:PossessioFundingVaultTest  => ok. 26 passed; 0 failed; 0 skipped; finished in 9.44ms (6.67ms CPU time)
test/PossessioFundingVaultAdversarial.t.sol:PossessioFundingVaultAdversarialTest  => ok. 0 passed; 0 failed; 1 skipped; finished in 1.01ms (0.00ns CPU time)
test/PossessioHookCreate3Fork.t.sol:PossessioHookCreate3ForkTest  => ok. 21 passed; 0 failed; 0 skipped; finished in 18.56ms (15.54ms CPU time)
test/PossessioLaunchFactoryFork.t.sol:PossessioLaunchFactoryForkTest  => ok. 26 passed; 0 failed; 0 skipped; finished in 7.88ms (2.80ms CPU time)
test/PossessioPaymentsDeployValues.t.sol:PossessioPaymentsDeployValuesTest  => ok. 0 passed; 0 failed; 1 skipped; finished in 681.37µs (0.00ns CPU time)
test/PLATELaunchV2.t.sol:PLATELaunchV2Test  => ok. 0 passed; 0 failed; 3 skipped; finished in 4.55ms (52.33µs CPU time)
test/POSSESSIO_v2_Gauntlet.t.sol:POSSESSIOv2Gauntlet  => ok. 0 passed; 0 failed; 3 skipped; finished in 851.25µs (59.17µs CPU time)
test/POSSESSIO_v2_Invariants.t.sol:POSSESSIO_v2_Invariants_t  => ok. 10 passed; 0 failed; 0 skipped; finished in 5.27ms (3.87ms CPU time)
test/POSSESSIO_v2_InventSig.t.sol:POSSESSIO_v2_InventSig  => ok. 3 passed; 0 failed; 0 skipped; finished in 1.78ms (1.08ms CPU time)
test/PaymentsAsTemplate.t.sol:PaymentsAsTemplateTest  => ok. 32 passed; 0 failed; 0 skipped; finished in 7.48ms (6.22ms CPU time)
test/PaymentsFork_t.sol:PaymentsForkTest  => ok. 17 passed; 0 failed; 0 skipped; finished in 2.48ms (1.57ms CPU time)
test/PossessioAutoTarget.t.sol:PossessioAutoTargetTest  => ok. 27 passed; 0 failed; 0 skipped; finished in 7.86ms (6.37ms CPU time)
test/PossessioAutoTargetAdversarial.t.sol:PossessioAutoTargetAdversarialTest  => ok. 5 passed; 0 failed; 0 skipped; finished in 4.57ms (2.99ms CPU time)
test/PossessioAutoTargetFork.t.sol:PossessioAutoTargetForkTest  => ok. 0 passed; 0 failed; 21 skipped; finished in 630.44µs (189.88µs CPU time)
test/PossessioSaltPool.t.sol:PossessioSaltPoolTest  => ok. 23 passed; 0 failed; 0 skipped; finished in 8.12ms (7.43ms CPU time)
test/PossessioSaltPoolCreate3.t.sol:PossessioSaltPoolCreate3Test  => ok. 20 passed; 0 failed; 0 skipped; finished in 6.32ms (5.66ms CPU time)
test/PossessioTestnetLaunchPool.t.sol:PossessioTestnetLaunchPoolTest  => ok. 0 passed; 0 failed; 2 skipped; finished in 311.16µs (24.47µs CPU time)
test/PossessioCouncilToken.t.sol:PossessioCouncilTokenTest  => ok. 17 passed; 0 failed; 0 skipped; finished in 161.38ms (300.93ms CPU time)
test/PossessioDeskDeployValues.t.sol:PossessioDeskDeployValuesTest  => ok. 3 passed; 0 failed; 1 skipped; finished in 873.67µs (308.53µs CPU time)
test/PossessioFactory.t.sol:PossessioFactoryTest  => ok. 16 passed; 0 failed; 0 skipped; finished in 771.69µs (464.78µs CPU time)
test/PossessioFactoryAdversarial.t.sol:PossessioFactoryAdversarialTest  => ok. 14 passed; 0 failed; 0 skipped; finished in 41.58ms (41.07ms CPU time)
test/PossessioFactoryDeployValues.t.sol:PossessioFactoryDeployValuesTest  => ok. 7 passed; 0 failed; 0 skipped; finished in 240.13ms (239.58ms CPU time)
test/PossessioPool.t.sol:PossessioPoolTest  => ok. 9 passed; 0 failed; 0 skipped; finished in 43.88ms (43.16ms CPU time)
test/PossessioPoolDeployValues.t.sol:PossessioPoolDeployValuesTest  => ok. 9 passed; 0 failed; 0 skipped; finished in 2.43ms (1.79ms CPU time)
test/PossessioRail.t.sol:PossessioRailTest  => ok. 7 passed; 0 failed; 0 skipped; finished in 2.80ms (2.18ms CPU time)
test/PossessioRailAdversarial.t.sol:PossessioRailAdversarialTest  => ok. 0 passed; 0 failed; 1 skipped; finished in 356.68µs (0.00ns CPU time)
test/PossessioPayments_t.sol:PossessioPaymentsAutomationTest  => ok. 22 passed; 0 failed; 0 skipped; finished in 64.14ms (63.47ms CPU time)
test/PossessioPayments_t.sol:PossessioPaymentsTest  => ok. 10 passed; 0 failed; 0 skipped; finished in 1.13ms (515.81µs CPU time)
test/PossessioPayments_H1Slippage.t.sol:PossessioPaymentsH1SlippageTest  => ok. 0 passed; 0 failed; 1 skipped; finished in 407.68µs (0.00ns CPU time)
test/L1AnchorAdversarial.t.sol:L1AnchorIdentityPrimitiveTests  => ok. 23 passed; 0 failed; 0 skipped; finished in 12.72ms (11.61ms CPU time)
test/L1AnchorAdversarial.t.sol:L1AnchorOracleManipulationTests  => ok. 20 passed; 0 failed; 0 skipped; finished in 4.06ms (3.02ms CPU time)
test/L1AnchorAdversarial.t.sol:L1AnchorReentrancyTests  => ok. 28 passed; 0 failed; 0 skipped; finished in 2.47ms (1.58ms CPU time)
test/L1AnchorAdversarial.t.sol:L1AnchorSilentFailureTests  => ok. 129 passed; 0 failed; 1 skipped; finished in 12.53ms (11.13ms CPU time)
test/L1AnchorAdversarial.t.sol:L1AnchorSovereigntyStressTests  => ok. 4 passed; 0 failed; 0 skipped; finished in 1.57ms (828.38µs CPU time)
test/L1AnchorFactory.t.sol:L1AnchorFactoryTest  => ok. 7 passed; 0 failed; 0 skipped; finished in 850.33µs (208.76µs CPU time)
test/PossessioX402CoreDecay.t.sol:PossessioX402CoreDecayTest  => ok. 6 passed; 0 failed; 0 skipped; finished in 1.04ms (444.97µs CPU time)
test/PossessioWhiskyMarket.t.sol:PossessioWhiskyMarketGauntlet  => ok. 3 passed; 0 failed; 0 skipped; finished in 721.03µs (175.00µs CPU time)
